surface	gloss	supergloss	supercompound	display gloss	i	a	COMMENTS/TODOS	alt_gloss	noun/pronoun	phonetic noun	adj/adv	verb	quantifier	conjunction	preposition	affix	interjection	fn	cognates	tok
	law-energy-thing	governmeng	power-thing		275		TODO not the greatest compound		government; regime											
	law-energy-person	manager	power-person		276				manager; boss											
	number law-energy-person				277				the management											
	other-time--law-energy	coyright	again-power		278				copyright		copyrighted	to copyright								
	law-energy-time end-time				279				term limit											
	law-energy-time	term_of_office	power-tiem		280				term (of office)											
	law-number-mark	contract	law-text		281				contract; written agreement; legal document											
	law-number-mark with law-be-thing				282				terms and conditions											
	no-law	unofficial			283						unofficial									
	law-female	wife			284				wife											
	law-male	husband			285				husband											
	law-link-person	spouse	law-link-person		286			law-big-love-person	spouse; husband; wife											
	law-person	employee			287				officer; employee											
	law-number	company			288			law-group	company											
	air-go-law-number	airline_company	flight-company		289			air-law-group	airline company											
	law-no-new	seniority	law-old		290				seniority		senior									
	law-flat-thing	counter	law-board		291		aka law table		counter											
	law-place	province			292			accordingto-word-place	county; region; any sort of smaller official division; district; province											
	big-law-place	country	big-province		293				country; nation		national									
	middle-law-place	international	middle-country		294						international									
	through-see	transparent			295				transparency		see-through; transparent; clear; explained	to clarify sth; to resolve sth								
	through-talk	explanation			296		aka clear-talk, 说明	through-see-talk	explanation; resolution; definition		defined	to explain sth; to explain how to do sth								
	small-of-talk	summary	small-description		296.5				summary		summarized	to summarize sth								
	small-talk	comment			297		lol that aphorism is wise		comment; aphorism			to comment on sth								
	small-talk-place	forum	comment-place		297.5															
	of-have	lose			298		English sometimes has separate words for intentional vs unintentional things. "no-have" would likely be better, but i no du yo and i du noyo sound too similar so it might be confusing. TODO find other verbs starting with no- and analyze!	no-have	loss			to lose sth; to shed sth								
	distance-talk	phone			299		"distance-talk-thing" could be used for the physical phone?		phone; telephone			to phone sb								
	no-through-see	opaque	no-transparent		300						murky; opaque; obtuse									
	no-can-through-talk	inexplicable	no-can-explanation		301			no-can-through-see	inexplicableness		inexplicable									
	no-can-through-talk--energy	magic	inexplicable-energy		302				magic; a magical spell; an enchatment		magical; enchanting	to practice magic								
	with-time	meeting			303				session; class; meeting; assembly											
	with-do	project			304				project											
	end--with-do	final_project	end-project		305				final project (e.g. in a class)											
	with-person	partner			306				partner											
	with-person-thing	gathering	with-person-thing		307				gathering; party											
	with-have	gather			308		TODO: are the meanings too divergent?: "to gather sth; to collect sth; to share; to have in common"		collection; gathering		shared; (in) common	to gather sth; to collect sth; to share; to have in common								alasa
	with-place	mix			309		aka to put sth together with sth else	with-put	mixture; combination; variation; diversity		mixed; combined	to add sth (into sth/direction thing); to mix (x and y: x with y); to combine (a and y x with y)								
	no-with-place	homogeneity	no-mix		310			no-with-put	homogeneity		homogenous	to sort sth; to tidy up; to put sth in order								
	back-front	oscilalte			311		Merged in direction-of and direction-of-move, which were weird glosses for vibration	back-front-go	swing; oscillation; vibration; round trip; wave		swinging; back and forth	to swing; to rock; to go back and forth; to move sth back and forth; to oscillate; to shake sth; to vibrate sth; to dither; to go back and forth; to waver; to vacillate ; to fluctuate; to oscillate								
	do no-dirt like back-front	shake			312							to sweep sth; to brush sth; to scrub sth								
	no-with	without			313										without					
	of time				314										since					
	place side				315						next to; by									
	place all side				316										surrounding					
	place other side				317										opposite (static); across (static)					
	place two side				318										on either side of					
	inside-place	instead			319										instead					
	have self-talk	fame			320		have-name				famous									
	person like have self-talk				321				celebrity; star											
	have self-talk like no-good				322				infamity		infamous									
	have-metal	rich			323				wealth		rich									
	want metal	avarice			324				greed (for money); avarice		greedy									
	over-want	greed			325				greed		greedy									
	have-want	envy			326		aka want what [they] have	other-want	envy; jealousy		envious; jealous	to envy sb; to be jealous of sb								
	want-link-body	horny	want-sex		327				horniness		horny									
	want-think	interest			328				interest; interestingness		interesting; interested	to be interested (in sth)								
	want-eat	hunger			329		this could also be "cute"....		hunger		hungry	to hunger (for sth)								
	want-water	thirst			330			want-eat-water	thirst		thirsty	to thirst (for sth)								
	can-love	cute			331		cognate: 可爱; adorable; lovable		cuteness		cute; adorable; lovable									
	water-eat	drink			332				compound disambiguation form: drink											
	inside-water	suck			333							to suck (a liquid)								
	inside-water-animal	mammal	suck-animal		334		TODO (aka suck-animal)		mammal											
	egg-air-animal	chicken	egg-bird		335		TODO atomize; Trevor: I feel like common sense would say all birds should be air-animals (Even though penguins, chickens, ostritches, etc. don't fly). I think chicken would be like "domestic air animal"		chicken											
	water-air-animal	seabird	water-bird		336				waterbird; duck											
	fast-big-animal	horse	fast-big-animal		337			fast-being	horse											
	flat-eat-animal	herbivore	flat-eat-animal		338			deer	deer; herbivore											
	light-flat-eat-animal	sheep	light-herbivore		339		aka white deer		sheep											
	high-flat-eat-animal	goat	high-herbivore		340		aka mountain deer		goat		goaty; goatlike								me (ono; te:meka)	
	light-water--flat-eat-animal	cow	milk-herbivore		341		aka milk deer	cow												
	water-animal	fish			342		note: there is no such thing as a "fish", so this is better anyways. So whale is also a type of fish? Also it's a pity we can't use "Minu"		fish											kala
	love-dirt-animal	pig	love-dirt-animal		343			middle-head-point-animal	pig											
	small-animal	bug			344															
	small-small-animal	ant	small-bug		345				ant											
	no-see-small-animal	bacterium	no-see-bug		346															
	air-small-animal	fly	air-bug		347				fly											
	jump-small-animal	frog	jump-bug		348				frog											
	eat-life-water--air-small-animal	mosquito	eat-blood-fly		349		aka drink-blood-fly; two-word compound (6+ syllables)		mosquito											
	sugar-small-animal	bee	sugar-bug		350				bee											
	small-animal-sugar	honey	bug-sugar		351				honey											
	big-plant-animal	squirrel	tree-animal		352				squirrel											
	hard-energy-animal	bear	strength-animal		353		Aka strong animal. TODO: to be etymologically aligned with Chinese, can-animal (capable animal) is very nice.	can-animal; soil-color-being	bear											
	small--hard-energy-animal	procyonid	small-bear		354		aka Kleinbär		raccoon; procyonid											
	do-no-dirt--hard-energy-animal	raccoon	do-cleanliness-bear		355		aka Wachbär, araiguma, 浣熊		<disambiguation form> raccoon											
	big-plant-place--big-good	wolf	forest-dog		356		aka forest-dog; the -animal is optional	big-plant-place--of-back-go-animal	wolf										forest-dog (sa:अरण्यश्वा)	
	hot-of-big-good	fox	hot-dog		357		aka red dog; the -animal is optional		fox											
	water-big-good	seal	water-dog		358		aka sea dog; the -animal is optional													
	long-animal	snake			359		aka long boi		snake											akesi
	arm-long-animal	lizard	arm-snake		360		aka leg snake		lizard; reptile											akesi
	dirt-animal	land_animal			361				land animal											
	water-dirt-animal	amphibian	mud-animal		362				amphibian											akesi
	water-long-animal	eel	water-snake		363		aka water snake		eel											
	dirt-long-animal	worm	dirt-snake		364		aka earth snake		worm			to worm								
	eight-arm-animal	spider	eight-arm-animal		365			eight-leg-small-animal	arachnid											
	water-eight-arm-animal	water-spider	water-spider		366		TODO crabs have 10 legs	pinch-hard-thing-bug	crab											
	sound-part-animal	rabbit	ear-animal		367				rabbit; jump-animal											
	hard-container-animal	crustacean	shell-animal		368				snail; crustacean											
	hard-small-animal	rolypoly	hard-bug		369			all-side-hard-small-animal	sowbug; roly poly; any other shalled bug											
	water-hard-small-animal	shrimp	water-rolypoly		370			water-all-side-hard-small-animal	shrimp; prawn											
	big-water-hard-small-animal	lobster	big-shrimp		371			big-water-all-side-hard-small-animal	lobster; crayfish; crawdad											
	long-hard-small-animal	millipede	long-rolypoly		372			long-all-side-hard-small-animal	millipede; centipede											
	hard-container-water-animal	turtle	shell-fish		373			hard-thing-jump-small-animal	turtle; tortoise											
	six-arm-animal	insect	six-arm-animal		374				insect											
	air-animal	bird			375		"small being" is already child. Or should that be "new being"?		bird											waso
	easy-move-animal	slug	slide-animal		376		aka slime creature; Trevor: Haha! Very German! If we are being picky with our syllables, I don't think we would have one for snail. But I might suggest "shell bug" or "home bug" and then "un-home bug" Haha!		snail; slug										naked-snail (de: Naktschnecke)	
	hard-container--easy-move-animal	snail	shell-slug		377		aka shell slug;		<disambiguatio_form> slug											
	big-flat-eat-animal	moose	big-herbivore		378				moose											
	big-nose-animal	elephant	big-nose-animal		379		aka big-nose animal	big-big-animal	elephant											
	have-small-end	spiky	have-tip		380						spiky									
	no-want-move-animal	sloth	no-want-move-animal		381				sloth											
	eat-life-water--eight-arm-animal	tick	eat-blood-spider		382		two-word compound (6+ syllables)		tick											
	big-cat	lion			383				lion; big cat											
	long-link-big-cat	tiger	string-lion		384		aka stripe-lion		tiger											
	fast-big-cat	cheetah	fast-lion		385				cheetah											
	no-new-time--big-animal	dinosaur	old-time-big-animal		386				dinosaur											
	fast--no-new-time--big-animal	velociraptor	fast-dinosaur		387				velociraptor											
	no-easy	difficult			390				difficulty; heaviness; inconvenience		heavy; difficult; inconvenient; thick; rough	to have difficulties; to make sth difficult; to scratch sth; to inconvenience sb; to do sth with difficulty;								
	big-surface	thick			391			no-easy-surface			<disambiguation form> thick, e.g. of paper or a shell									
	easy-move	slide			392		slick/graceful is a weird set of meanings but i think it is clear from context! also funny bc a slug becomes a graceful animal		slipperiness; slime; slidy		slippery; slick; greasy; slimy; not to be trusted; unreliable; crafty; devious; (of movement) graceful	to slip; to slide								
	no-easy-move	clumsy	no-slide		393						clumsy									
	dirt-easy-move	landslide	dirt-slide		394				landslide											
	no-fast	slow			395				slowness		slow	to slow down; to slow sth down								
	no-hard	soft			396				softness		soft; flaccid	to flaccidify; to make sth soft								
	hard-thing	stone			397				challenge; trial; <disambiguation_form> rock; stone			to challenge								
	hard-container	shell			398		aka surrounding rock	all-side-hard-thing	<disambiguation_form> shell											
	no-high	valley			399				valley; indentation; shortness		short; low; shallow	to sink sth; to lower sth								
	down-high	deep			400		按道理来说，这可以是跟高一样词，但是我觉得人会自然要不同的词		depth		deep; profound									
	link-no-high	groove	link-valley		401				ditch; groove										Before exact match, remove "to( (do|make))?  " before any verb fields, and remove " (do )?(sth|sb|swh)?(/(sth|sb|swh))?\)?"	
	arm-high	foothills			402				foothills											
	big-high	mountain			403				mountain		mountainous									
	link-high	ridge			404				ridge											
	have-high	hilly			405		consider have-X to 2 wd				hilly; curvaceous									
	no-hot	cold			406				cold; coldness		cold	to cool down; to cool sth; to cool sth down								lete
	hot-container	oven			407				oven			to bake sth								
	hot-flat	pan			408				pan; frying pan			to fry sth								
	hot-opening-container	pot	hot-opening-container		409				pot			to cook something in a pot								
	no-hot-container	refrigerator	cold-container		410		TODO differentiate fridge and freezer?		refrigerator											
	big-no-hot-container	freezer	freeze-container		411				freezer											
	no-long	shortness			412				shortness		short	to shorten; to make sth shorter; to shorten sth								
	no-new	old			413		id:tua		age		old	to get late; to age sth								majuna
	front-time	future			414				future		late; futuristic				after; afterwards					
	opening-energy	surprise			415				surprise; shock; sudden event		suddenly; surprisingly; surprised; sudden	to surprise sb; to shock sb								
	no-opening	closed			416						closed; shut; off (of a light etc.)	to close sth; to shut sth; to turn sth off								
	direction-inside-opening	entrance	direction-inside-opening		417				<disambiguation_term> entrance											
	direction-no-inside-opening	exit	direction-no-inside-opening		418				<disambiguation_term> exit											
	no-wide	narrow			419				thinness; narrowness		narrow; thin									
	hot-high	degree			420			hot-part	degree (temperature)											
	middle-hot	warm			421				warmth		warm	to warm sth								
	middle-middle-hot	lukewarm	middle-warm		422				neutral temperature		neutral temperature									
	small-thing	detail			423		DECIDED: "unify with complex?" —no!		detail		detailed									
	big-number-part	system	many-part		424			big-number-link; big-group-part	system; complex thing; network		complex									
	life-big-number-part	ecosystem	life-system		425				ecosystem; habitat											
	link-big-number-part	graph	link-system		426				greaph (computing)											
	small-number-part	simple	small-number-part		427			small-group-part	simplicity		simple									pona
	long-hard	arduous			428						arduous									
	do metal person				429		TODO: cpd vs 2 word difference					to pay sb								
	do metal thing direction person				430							to sell sth to sb								
	do metal thing of person				431							to buy sth from sb								
	one-place-energy	focus	specific-energy		437				focus; attention		focused; concentrated	to focus on sth; to concentrate on sth; to pay attention to sth								
	no-good-energy like one-place				438		aka focused pain		sting			to sting th								
	color-water	paint			439			color-water-mark; color-water-give-see	paint			to paint sth								
	do down water		down-water		440							to spill sth								
	see-part	eye			441				eye										ai (en); mu (zh)	oko
	sound-part	ear			442			sound-part; sound-see-part	ear											
	life-water-part	heart	blood-part		443				heart											
	new-do small-person				444							to breed								
	do-big	grow			445				compound disambiguation form: grow]											
	do-big--small-person-part	womb	grow-child-part		446				womb											
	bend direction				447							to turn around								
	other-direction	turn			448							to turn (e.g. one's head)								
	over-number	waste			449		alt: now-no-need		waste; excess; extra; rest (e.g. the rest); leftover		extra; excess	to waste sth; to remain								
	animal-dirt	poop			450			over-number-soil	poop; feces; BS		bullshit	to poop; to BS								
	over-number-water	pee	waste-water		451				urine; pee; wee-wee			to urinate; to pee								
	opening-water	saliva			452				spit; saliva			to spit							ln: twa	
	life-water	blood			453				sap; blood		bloody; bloodlike	to bleed								
	hard-link	pole			454			no-wide-thing	pole											
	head-body	neck			455		aka trunk that holds the head		neck											
	long-small-end	spear	long-tip		456			direction-stem	ray; spear										gai (ga:gae)	
	plant-arm	branch			457				stick; branch										dang (hi:danda, te:danda, vi:dán)	
	big-plant-arm	bough	tree-arm		458				bough (as in English, just "branch" is normally used)											
	back-arm	tail			459				tail											
	small-arm	finger			460		DONE: small-arm or small-end? small-end is odd because it has more of a "tip" meaning	small-arm; number	finger; twig			to point (at sth); to point to sth; to indicate sth; to show sth (to sb: direction person); to finger sb						point (decimal)	dwi (en:twig, fr:doigt; la:digit)	
	like-mark	image			461		DONE: merge with symbol etc?	flat-give-see; thing-mark	image; picture; depiction; drawing; painting			to depict sth; to draw sth; to paint sth								
	??-like-mark	photo			461.4				photo; photograph											
	place-like-mark	map	place-image		461.5				map		mapped out	to map sth (out)								
	think-mark	symbol			462		"note: ""word"" and ""law"" merged, and word is no longer ""talk part"".
note 2: ""word"" and ""law"" have been de-merged. ""word"" has been changed to ""talk-symbol"". note 3: merged into symbol
note 3: meaning-mark --> think-mark"	talk-symbol	symbol		symbolic	to represent sth; to symbolize sth								
	over-mark	title			462.5				title		titled	to entitle sth								
	no-side	ball			463		"NOTE: ""all-side"" aka osai sounds nice and circly, but it's bad to have a/i/e/o quantifiers in the middle of compounds.
DECIDED: decide about the preposition for ""to wind sth AROUND sth"" — we'll re-use circle even though it feels redundant."	all-side; no-point-body	ball; circle; sphere; berry (of a plant); wheel; border; perimeter; rim; circle; ring		spherical; ball-like; circular; round; rounded	to circle; roll sth into a ball; to coil; to wind sth (around sth: all-side thing)							cho (ono:o; zh:qiu=ball)	sike
	flat--no-side	circle	flat-ball		464		aka flat-ball	no-point	<disambiguitory_form> circle (if one needs to differentiate it from a ball)											
	body-no-side	sphere	body-ball		465				<disambiguitory_form>ball/sphere											
	no-side of small-arm				466				<disambiguitory_form> ring											
	self--no-side	spin	self-ball		467							to spin sth								
	hard-water	ice			468				ice											
	over-hard-water	snow	over-ice		469				snow			to snow								
	over-hard-water-part	snowflake	snow-part		470			hard-water-part	snowflake										snow-let (eo: neĝero a snowflake, from 'snow')	
	metal-part	coin			471			metal-part	coin										money-let (eo: monero a coin, from 'money'))	
	metal-link-part	chainlink	chain-part		472				chain link										chain-let (eo: ĉenero a link, from 'chain')	
	hot-energy-part	spark	fire-part		473				spark										let (eo: fajrero (a spark, from 'fire')	
	flat-stuff-link-part	stitch	thread-part		474				stitch											
	go-part	step			475		NEED NEW DECISION...."FOOT". AS VB IS STEP OR STAND? REVERSED DECISION: "part"/bit should be thought of as both —> DONE: "part that does something" is better than "part" meaning "-ito". Need better gloss for latter. —> changed to "small"	go-part	step											
	eat-stuff-part	crumb	food-part		476				crumb; kibble											
	one-direction-link	ray	one-direction-link		477				ray (geometry)											
	long-link	string			478		"used to be atomic
TODO may have to differentiate e.g. hair and stripe, e.g. a zebra has stripes versus hair"	two-point; one-side	string; thread; sequence; row; tendon; sinew; line; strip; stripe; strap; ray; string; wire		sequential; stringy; sinewy	to put sth in a row								linja
	high-no-side	cylinder	high-ball		479			no-point-line	cylinder											
	no-inside--high-no-side	tube	empty-cylinder		480		aka hollow cylindar	no-inside-no-point-line	tube											
	three-side--no-side	cone	triangle-ball		481		aka triangle-circle	three-point-no-point	cone; horn											
	metal-long-link	wire	metal-string		482				wire											
	two-side	angle			483				angle											
	law-link	marriage			484			law-big-love	marriage		married	to marry sb								
	four-side-body	cube	square-body		485		aka 3D square		cube; block (e.g. child's toy)											
	three-side	triangle			486			three-point	triangle											
	go--no-side-link	spiral	go-ball-link		487				spiral											
	four-side	square			488			four-point; one-four-point	square; block (of a city); rectangle											leko
	four-side like all-good				489		aka perfect square		<disambiguation_form> square											
	four-side like no-all-good				490		aka imperfect square		<disambiguation_form> rectangle											
	three-side-body	pyramid	triangle-body		491		aka 3D triangle		pyramid											
	end-side	border			491.5				border; limit; outer edge; frontier											
	small-side	edge			492				edge; sharpness		sharp	to sharpen sth								
	no-small-side	dullness	no-edge		493			no-point-side			dull									
	through-go	cross			494			through-hit	cross; X			to cross sth; to intersect sth								
	big-number-through-go	grid	many-cross		495				grid; lattice; matrix											
	dirt-go	dig			496		TODO consider this could be "tunnel" too					to dig sth								
	dirt-go-thing	shovel	dig-thing		497				shovel											
	big-over	sky			498				sky											
	direction-over	up			499										up(direction)					
	over-energy	lift			500		aka hold up	direction-over-have	support		supportive	to carry sth; to lift sth [up]; to support sb/sth;								
	over-thing	top			501		en: lay; German "es liegt darauf" for dependency		top; cap; covering; cover; hat		covered; top; most; -est	to cover sth						superlative		
	down-thing	bottom			502				bottom; butt		bare; naked; uncovered	to bare sth; to uncover sth								
	down-place	ground			503				ground; floor; field											
	flat-go	crawl			504							to creep; to crawl								
	flat-body	lie_flat			505						<disambiguation_term> lying (stressing that it's flat / not "sitting")	to lie; to lie down; to lay sth down								
	down-body	sit			506						<disambiguation_term> sitting (stressing that it's "sitting up" not "lying" ; usually you'd just use "flat")	to sit; to sit down; to sit on sth								
	over-go	ride			507				ride; drive			to ride sth; to drive sth								
	do-flat-place	seat	do-flat-place		508				seat											
	hard-surface	hit			509				strike; hit			to hit sth; to strike sth; to beat sth								
	flat-surface	pat			510							to pat; to stroke; to pet								
	head-front	face			511		face=expression: to pull a face is already the same as to make an expression. one could have face and front be the same. But then it gets weird when "back" is the opposite of "face". Compare to the difficulty one had with "top" vs "cover". that seems fine, but when you take the inverse, naked/bottom/butt are the same word, which is problematic.	front-thing	face; expression; flower		flowery; facial	to face sth; to confront sth/sb								
	go-arm	leg			512			anti-top-arm	leg; root		leggy	to walk (to sth/swh)							twe (zh:tui); pe (:p*=foot)	
	head-container	sinuses			513				sinuses											
	arm-end	hand			514				hand			to clap; to hand sth to sb								luka
	body-hard	bone			515		aka aka body-stone		bone											
	body-stuff	flesh			516				flesh											
	body-air	fart			517				fart; flatulance			to fart; to go gas								
	side-one	left			518				the left side of sth						to the left					
	side-two	right			519				the right side of sth						to the right					
	go-arm-end	foot	go-hand		520				foot		standing; footlike	to stand up; to stand (sth. up)								
	direction no-inside				521										out of					
	direction inside				522										into (going into a place)					
	arm-bend	elbow			523				elbow											
	down-arm	forearm			524				forearm	 Zuko										
	down-go-arm	shin	down-leg		525				shin; calf; lower leg											
	nose-water	snot			526				snot											
	small-arm-bend	knuckle	finger-bend		527				knuckle											
	go-arm-small-arm	toe	leg-finger		528				toe										foot-finger (many)	
	head-link	hair			529				hair											
	body-link	fur			530				fur; body hair		furry									
	body-link like hard				531				disambiguation_form: hair (not fur)											
	body-link like no-hard				532				disambiguation_form: fur (not hair)											
	hot-body-water	sweat	hot-body-water		533			hot-life-water	sweat											
	go-arm-bend	knee	leg-bend		534				knee			to kneel								
	head-opening-side	lips	mouth-side		535				lips											
	over-arm	upper_arm			536				upper arm											
	over-go-arm	thigh	over-leg		537				thigh											
	big-plant	tree			539				tree											
	plant-place	garden			540				garden											
	big-plant-place	forest	tree-place		541			tree-big-number; pl-big-plant	forest; copse											
	eat-big-plant-place	orchard	eat-forest		542				orchard											
	middle-big-plant	bush	middle-big-plant		543				bush											
	plant-hard	nut			545				nut; seed											
	dark-color	black			546				<disambiguation_form> blackness		<disambiguation_form> black									
	light-color	white			547				<disambiguation_form> whiteness		<disambiguation_form> white									
	dirt-color	brown			548				brown		brown	to become brown; to make sth brown							kape	kapesi
	water-color	blue			549			over-color, aka sky-color	blue		blue	to become blue; to make sth blue								laso
	plant-color	green			550				green		green	to become green; to make sth green								
	hot-color	red			551				red		red	to blush; to make sth red								
	light-hot-color	pink	light-red		552				pink		pink									
	yellow-hot-color	orange	yellow-hot-color		553			sun-hot-color	orange		orange	to become orange; to make sth orange								
	water-hot-color	purple	water-hot-color		554		aka aka blue-red aka sky-fire-color		purple		purple	to become purple; to make sth purple								unu
	yellow-plant-color	yellow_green	yellow-plant-color		555			sun-plant-color	yellow-green		yellow green	to become yellow green; to make sth yellow green								
	yellow-yellow-plant-color	extra_yellow_yellow_green	yellow-yellow_green		556			sun-sun-plant-color	extra yellow yellow-green		extra yellow yellow green	to become extra yellow yellow green; to make sth extra yellow yellow green								
	light-dark-color	grey	light-dark-color		557				grey		grey	to become grey; to make sth grey								
	light-light-dark-color	whitish_grey	light-light-dark-color		558				whitish grey		whitish grey	to become whitish grey; to make sth whitish grey								
	no-truth-talk	lie	no-truth-talk		559				lie		deceitful	to lie (to sb)								
	no-can	disallow			560		DECIDED: "consider no-allow instead of no-talk" — good idea; changed.	no-talk	refusal; ban		verboten; forbidden; disallowed	to refuse sth; to say no (to sth); to forbid sth; to ban sth; to disallow sth								
	talk no direction person				561							to contradict sb								
	no-talk	secret			562			no-talk-direction-person	secret		secret; secretive									
	truth-talk	convince			563						convinced; persuaded	to persuade sb; to convince sb								
	talk truth				564							to say yes (to sth)								
	talk like no-truth				565							to say sth incorrect (maybe a lie, mayb a mistake)								
	no-truth	falsehood			566				pretence; falsehood; fantasy; untruth		fake; false	to pretend; to pretend to be/do sth							lai (en:lie)	
	no-truth like want				567		aka intentional anti-truth		lie											
	give-talk	claim			568				proposal; claim			to propose sth; to claim sth								
	think-talk	poem			569		NB: "poetry" comes from "to make" and "Gedichte" from "to say"		poetry; poem		poetic									
	think like one-way	agreement			570			talk-truth-talk	agreement; consent			to consent (to sth); to agree (to sth)								
	self-talk	name			571				name			to name sth; to call sth sth								
	wide-talk	rumor			572		aka aka transmit-talk		rumor; legend; myth		rumored; mythical; legendary	to spread rumors; to tell sb sth (as a rumor)								
	good-energy-sound	laugh	happy-sound		573				laugh		funny	to laugh (at sth)								
	good-energy-sound-talk	joke	laugh-talk		574				joke			to joke (abt sth)								
	good-energy-head-front	smile	happy-face		575				smile			to smile (at sth/sb)								
	two-think	pun			576				pun			to make a pun								
	two-talk	doublespeak			577				doublespeak											
	hard-talk	promise			578				claim; promise; commitment; oath		sworn; promised	to commit; to promise sth; to guarantee sth; to commit self to sth; to swear sth								
	hard-sound	consonant			579				consonant											
	no-hard-sound	vowel	soft-sound		580				vowel											
	think-stuff	information			581			thought? talk?	information; info; data			to inform ; to inform sb of sth								
	think-think	figurative			582				the figurative meaning		figurative									
	thing-think	literal			583				the literal meaning		literal									
	good-talk	compliment			584				compliment; praise; laud; advice; recommendation; congratulations			to say good things; to compliment sb; to praise sb; to laud sth/sb; to commend sb; to recommend sth; to advise sth; to congratulate sb; to advise sb to do sth; to recommend sb to do sth								
	over-good-talk	flattery	over-compliment		585				flattery			to flatter sb								
	no-good-talk	criticism	bad-talk		586				criticism; complaint; blame		critical	to criticize sb; to scold sb; to badmouth sb; to slander sb; to complain about sth; to blame sth; to bemoan sth								
	talk-part	word			587		odd that tongue and word are the same, but also ok		tongue; word; term			to tongue sth/sb; to make out (with sb)							tang (en:0.9:tongue; es:0.1:lengua; fr:0.2:langue)	toki
	talk-part-seek	dictionary	word-seek		588				dictionary											
	start-talk-part	rootword	start-word		589				root word; atom (Sesowi)											
	do-talk-part	verb	do-word		590			do-talk-symbol	verb											
	like-talk-part	adjective	like-word		591			like-talk-symbol	adjective											
	thing-talk-part	noun	thing-word		592			thing-talk-symbol	noun											
	me-you-talk-part	pronoun	me-you-word		593			me-you-talk-symbol	pronoun											
	talk-place	translation			594				translation			to translate sth								
	talk-place-person	translator	translation-person		595				translator											
	see-part-water	cry	eye-water		596				tears; tear		teary	to cry (about sth); to lament sth; to bemoan sth; to complain about sth; to weep								
	big-person	adult			597				adult; parent			to grow?								mama
	small-person	child			598			new-person	kid; child (son or daughter)		childlike									
	small-small-person	baby	small-child		599				baby		baby									
	male-energy	masculinity			600				masculinity		masculine									
	female-energy	feminity			601				feminity		feminine									
	female-part	vagina			602				vagina		vaginal; yonic									
	male-part	penis			603				penis		phallic									
	female-big	mother			604		I like that female-big is "muda" ! For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		mother											
	male-big	father			605		For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		father											
	with-small	sibling			606		aka aka with-child or co-child; For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		sibling										nwa (ak:nua)	
	female-with-small	sister	female-sibling		607		For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		sister											
	male-with-small	brother	male-sibling		608		For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		brother											
	big-female-with-small	jiejie	big-sister		609				big sister											
	big-male-with-small	gege	big-brother		610				big brother											
	small-female-with-small	meimei	small-sister		611				little sister											
	small-male-with-small	didi	small-brother		612				little brother											
	female-small	daughter			613		For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		daughter											
	male-small	son			614		For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		son											
	with-small-big	uncle/aunt	sibling-big		615		For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		uncle; aunt											
	female-with-small-big	aunt	female-uncle/aunt		616		For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		aunt											
	male-with-small-big	uncle	male-uncle/aunt		617		For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		uncle											
	small of with-small				618		For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		nibling											
	jump-with-small	cousin	jump-sibling		619		For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		cousin											
	jump-big	grandparent			620		For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		grandparent											
	two-jump-big	great-grandparent	two-grandparent		621		For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		great-grandparent											
	three-jump-big	great-great-grandparent	three-grandparent		622		For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		great-great-grandparent											
	two-jump-with-small	second_cousin	two-jump-sibling		623		For fambily members, the "-person" can generally be omitted since it's unambiguous. The older generation will end in "big" and the smaller generation with "small".		second cousin											
	new-be eat-stuff				624							to cook food								
	new-be-eat-person	cook	create-eat-person		625				cook											
	hard--no-side	bean	hard-ball		626				bean											
	big-hard--no-side	melon	big-bean		627				melon; gourd										zh:gua	
	hard--no-side-plant	bean_plant	bean-plant		628				bean plant											
	animal-stuff	meat			629			animal-eat	meat; flesh											
	plant-water	tea			630				tea; tisane; broth											
	energy-water	gas			631				gasoline; petrol											
	eat-play	coffee			632		this is one of the few words that is universally cognate...and "eat-play" is an amazing meaning!	soil-color-water	coffee											
	eat-play-inside	caffeine	coffee-in		633		sounds like "caffeine"...and almost makes sense. Properly shoudl be in-coffee but whatever		caffeine											
